Enzyme NextGen-A,,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-B,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-C,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-D,,,,,,,,,,,,,,,,,,,,Enzyme NextGen-E,,,,,,,,,,,,,,,,,,,
,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,,Test 1,,,,,,,,,,Test 1 duplicate,,,,,,,,,
8,0.166,0.34,0.7,1.094,2.134,4.467,4.745,5.042,8.118,8.558,0.194,0.469,0.863,1.133,2.345,3.167,4.976,4.573,6.724,7.889,0.062,0.159,0.303,0.669,1.405,1.674,3.264,3.406,5.975,7.087,0.061,0.125,0.37,0.688,1.093,1.732,3.401,5.013,4.743,5.444,0.203,0.324,0.875,1.651,3.112,4.845,4.78,8.77,7.646,10.665,0.191,0.444,0.977,1.534,2.924,5.097,5.726,8.115,6.444,10.733,0.185,0.417,0.747,1.549,1.974,3.193,6.158,7.213,10.835,11.186,0.159,0.325,0.675,1.327,2.823,3.132,6.742,6.894,12.417,12.523,0.311,0.505,1.129,2.274,4.611,6.97,10.209,8.261,14.092,9.896,0.34,0.496,0.95,1.684,3.481,5.676,8.716,12.762,11.01,11.417
9,0.251,0.453,0.979,1.373,2.605,3.577,4.459,6.026,7.274,6.905,0.238,0.528,0.84,1.772,3.023,3.912,6.547,7.532,6.061,7.197,0.091,0.174,0.387,0.659,1.455,2.394,3.431,4.369,7.108,5.229,0.103,0.149,0.362,0.574,1.461,1.861,3.214,5.481,6.501,6.673,0.246,0.36,0.837,1.408,2.924,5.442,7.197,9.869,8.084,9.859,0.223,0.536,0.861,1.944,3.436,5.565,5.281,6.717,10.478,8.615,0.213,0.359,0.766,1.403,2.409,4.49,7.458,9.736,9.32,10.122,0.174,0.409,0.844,1.585,2.861,4.992,7.298,9.876,13.977,12.413,0.33,0.818,1.167,2.434,4.31,7.327,10.716,13.758,16.03,15.817,0.293,0.671,1.164,2.387,5.246,8.204,9.024,9.341,12.809,12.15
10,0.26,0.551,0.938,1.887,2.885,5.228,6.027,8.196,9.554,9.791,0.25,0.468,1.014,1.613,2.573,5.167,7.01,8.907,6.824,8.001,0.112,0.21,0.322,0.756,1.168,2.523,4.069,5.071,5.799,8.313,0.092,0.231,0.449,0.766,1.165,2.093,4.042,4.823,7.234,6.274,0.295,0.535,0.942,2.066,2.728,4.589,7.591,7.622,11.712,12.911,0.218,0.552,0.988,2.124,3.751,5.405,8.359,7.493,11.252,12.558,0.242,0.395,0.795,1.603,3.508,5.368,7.918,12.605,15.313,17.173,0.197,0.348,0.811,1.384,3.155,4.375,8.309,8.775,14.206,15.087,0.452,0.703,1.322,2.499,5.42,7.084,11.468,14.517,12.706,14.853,0.429,0.672,1.338,2.171,5.527,8.228,11.144,10.512,12.179,18.724
11,0.262,0.605,0.965,1.774,3.908,4.608,6.183,7.042,8.373,9.141,0.317,0.564,0.991,1.828,2.954,4.553,5.889,9.128,10.571,9.373,0.105,0.183,0.455,0.769,1.516,2.359,4.667,4.903,7.1,7.284,0.097,0.24,0.37,0.665,1.679,2.834,4.371,5.997,7.204,9.139,0.298,0.457,1.124,1.658,3.966,5.462,8.895,9.453,9.899,11.406,0.279,0.505,0.96,2.238,3.133,4.868,8.728,10.904,11.859,14.302,0.214,0.5,0.862,1.904,3.36,5.007,7.853,12.099,13.402,14.795,0.272,0.502,0.923,1.755,3.748,5.91,8.876,9.692,11.742,15.13,0.453,0.956,1.857,2.887,6.379,8.046,10.386,12.925,16.216,18.446,0.52,0.935,1.86,2.472,6.314,7.158,12.063,11.909,14.437,18.824
12,0.282,0.665,0.97,2.069,3.148,5.637,6.824,8.786,11.473,12.443,0.317,0.488,0.98,2.173,3.695,5.407,7.115,8.037,8.703,11.668,0.127,0.2,0.453,0.911,1.436,2.708,5.037,5.641,7.468,9.42,0.118,0.208,0.532,0.756,1.667,3.061,4.034,6.974,7.532,7.676,0.351,0.506,1.246,2.291,4.231,5.847,8.231,12.264,11.001,14.444,0.294,0.685,1.17,1.878,3.776,7.041,8.934,12.223,10.972,12.358,0.3,0.476,0.846,1.767,3.334,5.348,9.896,11.082,14.748,14.601,0.292,0.471,1.113,1.85,3.575,6.519,9.311,10.894,15.115,15.025,0.536,1.025,1.676,3.371,5.848,8.286,11.902,15.176,18.241,17.041,0.428,0.846,1.757,3.183,5.548,9.04,11.822,14.073,17.557,21.983
13,0.334,0.707,1.062,1.911,4.281,6.484,9.033,9.966,9.549,11.536,0.33,0.626,1.161,2.01,3.625,6.471,8.399,8.299,10.897,10.881,0.132,0.271,0.505,0.902,1.879,3.469,4.592,6.654,10.018,9.283,0.127,0.211,0.538,0.952,1.729,3.179,5.386,6.02,9.019,10.349,0.287,0.666,1.131,2.326,4.438,5.657,9.208,12.653,12.051,14.325,0.359,0.576,1.391,2.2,4.522,7.146,9.332,13.571,13.87,13.236,0.277,0.587,1.077,1.79,4.506,5.656,11.006,14.142,17.697,19.227,0.297,0.549,1.045,2.162,3.833,6.572,9.522,13.39,15.181,19.668,0.523,1.089,2.036,3.313,6.802,8.711,13.226,16.05,16.701,19.842,0.565,0.914,2.053,3.084,6.04,10.389,15.592,17.884,18.9,17.951
14,0.381,0.588,1.437,2.449,3.689,6.296,9.373,11.377,11.842,12.181,0.386,0.582,1.213,2.293,4.396,5.982,8.507,10.246,10.522,13.718,0.121,0.3,0.547,0.908,1.717,2.999,5.38,7.024,10.048,10.76,0.142,0.233,0.581,1.114,1.95,3.327,4.846,7.532,9.22,9.436,0.344,0.616,1.328,2.219,5.033,6.999,10.312,11.246,15.787,14.408,0.333,0.799,1.518,2.154,5.167,7.635,10.578,13.621,14.219,13.971,0.265,0.6,1.199,2.174,4.598,6.786,11.226,16.477,17.799,18.849,0.297,0.533,1.025,2.261,4.719,8.03,10.199,14.153,19.175,18.897,0.542,1.196,2.025,4.054,7.069,11.815,15.186,20.212,18.097,22.456,0.517,1.026,2.256,3.189,6.304,11.047,12.839,18.436,18.611,18.969
15,0.328,0.642,1.358,2.797,4.696,7.287,8.008,10.551,12.411,14.126,0.366,0.687,1.241,2.369,4.615,6.782,8.681,12.313,13.136,14.676,0.153,0.301,0.603,0.952,2.199,3.289,5.084,7.961,10.012,10.704,0.128,0.314,0.556,0.982,2.079,3.197,5.373,6.918,11.016,11.033,0.343,0.671,1.363,2.364,5.354,6.93,11.804,15.099,15.22,17.176,0.332,0.756,1.288,2.423,4.795,8.179,9.768,12.802,15.231,18.179,0.309,0.609,1.084,2.182,4.384,8.174,11.562,16.348,17.006,18.826,0.324,0.69,1.272,2.379,4.39,7.722,12.119,14.24,20.466,20.252,0.613,1.242,2.463,4.229,7.788,12.091,14.085,21.884,19.438,22.575,0.652,1.066,2.229,3.625,8.392,11.99,13.694,20.377,22.767,26.413
16,0.409,0.75,1.491,2.805,4.815,6.707,9.596,12.378,12.302,15.911,0.341,0.758,1.589,3.044,4.648,7.793,10.907,12.69,14.973,15.542,0.171,0.291,0.598,1.122,2.181,3.391,5.793,9.294,9.866,12.357,0.162,0.279,0.544,1.253,2.439,3.771,6.317,8.07,9.77,10.901,0.444,0.879,1.454,2.757,4.652,8.363,11.163,15.66,18.098,19.613,0.436,0.87,1.454,2.736,5.406,8.462,10.754,14.073,16.466,17.773,0.366,0.622,1.325,2.512,4.334,7.927,13.719,18.302,22.591,23.649,0.315,0.63,1.455,2.454,4.863,8.236,13.256,17.785,19.561,24.848,0.585,1.138,2.277,4.009,7.381,11.61,15.245,22.184,22.14,24.958,0.623,1.307,2.446,4.138,8.39,10.934,18.372,23.045,21.495,22.182
17,0.45,0.769,1.62,2.594,4.999,8.011,9.814,13.675,15.841,14.749,0.379,0.842,1.628,2.844,5.287,8.119,10.478,12.38,13.97,16.964,0.154,0.339,0.692,1.092,2.372,4.399,6.177,7.955,10.517,12.646,0.17,0.353,0.677,1.301,2.556,3.694,5.854,9.247,12.616,13.463,0.442,0.911,1.724,3.071,6.234,9.579,11.699,16.319,16.459,21.364,0.378,0.832,1.641,3.189,5.545,9.134,11.472,16.238,19.576,18.115,0.332,0.635,1.291,2.87,4.593,8.978,11.629,16.213,21.748,22.558,0.324,0.752,1.237,2.377,4.506,7.725,14.03,19.708,21.436,23.892,0.745,1.324,2.262,3.838,9.296,14.066,16.083,24.406,24.527,28.333,0.646,1.3,2.695,4.252,9.239,13.727,16.193,20.611,22.797,27.7
18,0.386,0.794,1.586,2.735,5.5,8.709,10.6,12.212,14.708,15.081,0.478,0.903,1.725,3.338,5.69,8.655,12.07,12.371,14.688,17.189,0.164,0.335,0.644,1.361,2.419,3.749,6.18,8.776,12.832,14.169,0.172,0.38,0.636,1.35,2.35,4.216,7.385,8.838,11.148,11.92,0.422,0.939,1.738,3.329,5.863,9.238,14.374,18.25,18.846,19.233,0.451,0.982,1.68,3.142,6.097,9.256,14.2,15.092,17.2,19.038,0.415,0.75,1.52,2.782,5.123,8.415,12.338,18.055,24.248,23.072,0.369,0.77,1.471,2.943,5.839,8.244,14.841,17.562,23.077,26.354,0.693,1.516,2.703,4.123,8.823,12.784,17.166,21.2,25.626,30.085,0.78,1.456,2.871,4.093,8.251,14.268,18.782,22.272,24.721,31.451
19,0.471,0.805,1.858,3.053,5.716,7.626,11.823,15.121,15.675,16.906,0.431,0.929,1.565,2.921,5.675,8.567,10.842,14.494,15.819,17.765,0.193,0.334,0.761,1.254,2.81,4.122,6.313,10.251,13.692,12.982,0.168,0.388,0.656,1.43,2.454,4.322,6.384,9.436,12.399,14.277,0.469,0.885,1.932,3.234,6.744,9.854,14.097,16.812,19.202,23.512,0.421,1.018,1.627,3.38,6.809,8.856,12.583,17.243,22.118,20.506,0.364,0.832,1.534,3.02,5.872,9.424,12.999,18.807,22.309,27.259,0.391,0.777,1.639,2.922,5.858,9.754,15.099,21.907,25.912,27.443,0.732,1.518,2.945,4.636,9.547,14.596,19.907,24.306,28.839,27.494,0.788,1.345,2.794,5.001,8.874,15.504,18.891,23.967,27.488,31.667
20,0.459,0.951,1.914,3.568,6.149,8.434,13.121,15.617,16.48,18.997,0.518,0.892,1.924,3.514,6.272,9.565,12.76,15.064,15.383,16.407,0.203,0.412,0.793,1.49,2.715,4.815,6.873,9.437,14.656,16.002,0.192,0.365,0.703,1.563,3.028,4.392,6.689,9.816,14.795,15.171,0.465,1.077,1.701,3.678,6.005,10.672,15.282,17.875,21.315,22.02,0.535,1.074,2.029,3.61,6.858,10.199,14.616,17.711,21.599,21.002,0.446,0.8,1.487,3.15,6.323,10.024,14.069,18.815,25.696,27.959,0.419,0.748,1.553,3.39,5.718,10.297,15.186,21.31,26.711,28.455,0.703,1.496,3.143,4.693,10.227,14.683,18.929,26.479,29.507,32.592,0.848,1.58,2.986,4.939,9.772,15.053,21.76,26.865,31.599,31.737
21,0.466,1.034,1.733,3.819,6.168,8.808,13.517,14.725,18.768,18.711,0.509,0.979,1.793,3.784,5.967,8.714,13.434,16.63,18.039,17.311,0.218,0.413,0.87,1.614,3.123,4.903,7.285,10.708,15.176,15.409,0.22,0.377,0.73,1.635,3.05,4.608,7.626,11.181,15.666,16.368,0.56,1.113,2.055,3.969,7.24,9.922,15.478,19.56,21.044,21.736,0.559,1.029,2.156,3.8,6.371,11.393,15.326,20.302,21.602,24.011,0.434,0.826,1.59,3.261,6.5,11.141,16.141,23.476,27.031,29.326,0.474,0.793,1.667,3.2,5.75,10.359,16.902,22.883,25.501,30.63,0.868,1.591,3.268,5.309,10.527,14.406,21.476,25.587,32.986,32.243,0.823,1.579,2.892,4.742,9.812,14.654,23.524,26.123,30.265,32.063
22,0.485,1.001,2.01,3.645,5.944,9.946,13.642,15.663,17.224,20.608,0.557,0.982,1.896,3.939,6.07,9.857,13.325,15.541,18.021,21.491,0.21,0.453,0.765,1.435,2.978,4.993,8.833,12.239,15.055,14.972,0.195,0.452,0.901,1.509,2.904,5.16,7.904,11.784,16.202,16.358,0.576,1.055,2.212,3.828,7.781,10.228,15.859,18.695,24.676,26.881,0.525,1.161,2.047,4.034,6.821,10.11,16.741,20.627,22.523,25.493,0.445,0.941,1.69,3.431,6.389,11.507,16.155,24.405,26.738,30.37,0.473,0.907,1.891,3.34,6.294,10.282,16.721,23.184,28.865,29.11,0.906,1.607,3.116,5.57,9.762,15.787,24.435,28.626,30.955,32.066,0.895,1.747,3.445,4.986,10.523,17.618,23.541,30.341,30.658,37.252
23,0.546,1.048,2.054,3.618,6.594,10.194,13.785,17.985,18.674,20.955,0.529,1.001,2.119,3.677,6.216,11.028,12.95,15.743,21.027,19.772,0.211,0.453,0.942,1.56,3.334,5.129,8.321,11.225,14.709,16.954,0.239,0.462,0.942,1.771,3.293,5.204,8.839,11.149,15.199,17.092,0.566,1.134,2.017,4.185,7.981,11.807,17.767,19.151,24.298,26.984,0.543,1.05,2.145,4.082,6.864,11.018,16.201,22.495,24.361,27.763,0.471,0.981,1.701,3.263,7.264,10.996,18.27,23.243,29.797,34.624,0.467,1,1.743,3.424,6.977,10.952,17.344,22.668,28.588,32.978,0.809,1.755,3.569,5.3,10.53,15.86,22.234,29.354,31.661,36.797,0.813,1.787,3.358,5.917,11.51,17.554,22.141,27.002,32.968,39.022
24,0.548,1.048,2.211,4.094,6.764,10.558,15.112,18.342,21.285,20.991,0.605,1.178,2,4.043,6.923,10.004,13.838,19.29,19.953,22.176,0.228,0.46,0.891,1.768,3.301,5.389,8.495,12.053,17.297,18.934,0.212,0.474,0.919,1.683,3.192,5.363,8.871,12.838,17.7,16.616,0.618,1.105,2.262,4.431,8.11,12.006,15.795,20.638,23.409,27.732,0.583,1.24,2.346,4.403,7.955,12.001,17.898,20.487,24.021,29.128,0.464,0.977,1.953,3.796,7.215,12.305,17.408,24.435,29.881,32.85,0.54,0.997,1.84,3.975,7.398,12.289,19.209,26.951,30.983,34.367,0.959,1.665,3.435,5.472,11.06,17.866,23.387,30.698,36.502,37.983,0.933,1.712,3.579,6.181,12,18.821,26.01,32.255,37,37.127
25,0.618,1.198,2.218,4.192,7.276,11.267,15.196,19.661,19.879,24.171,0.553,1.229,2.356,5.863,7.424,11.49,15.848,17.49,22.575,23.752,0.224,0.472,0.936,1.777,3.72,5.679,9.65,13.251,17.978,17.753,0.252,0.449,0.903,1.911,3.644,5.351,8.916,13.89,16.921,18.451,0.627,1.198,2.207,4.502,8.206,12.847,17.423,23.109,26.8,29.867,0.649,1.254,2.472,4.328,8.429,11.585,18.709,23.105,28.39,27.652,0.532,0.969,1.953,3.704,7.552,12.186,19.795,26.46,30.951,36.774,0.481,1.004,1.849,3.672,7.63,11.925,18.625,26.024,30.938,33.434,0.916,1.754,3.287,5.658,12.056,19.387,23.999,33.898,36.038,40.206,0.947,1.943,3.504,5.645,11.64,19.522,26.07,34.218,38.522,37.837
26,0.574,1.129,2.297,4.181,8.08,11.48,16.09,17.952,21.556,23.212,0.613,1.225,2.207,4.567,8.027,11.386,15.651,20.814,20.421,21.793,0.249,0.454,0.987,1.721,3.398,5.737,9.607,14.181,18.113,19.395,0.232,0.499,1.031,1.729,3.833,5.685,10.08,14.225,18.633,18.142,0.66,1.196,2.258,4.246,8.424,12.892,17.195,25.002,27.978,30.567,0.592,1.213,2.332,4.562,8.925,12.561,17.402,24.676,27.594,31.487,0.521,1.081,2.012,4.162,7.344,12.462,19.89,28.666,31.584,39.892,0.542,0.991,2.032,3.83,7.611,12.266,18.892,25.474,33.285,38.372,1.022,1.803,3.697,6.365,12.503,18.488,25.451,33.947,38.472,38.916,0.984,1.837,3.492,6.14,11.543,18.292,26.564,34.803,37.231,38.721
27,0.584,1.292,2.349,4.453,7.447,11.082,16.972,20.7,22.427,24.453,0.604,1.215,2.442,4.26,8.287,11.571,15.667,21.287,23.923,25.562,0.247,0.539,1.021,1.83,3.584,6.363,9.355,14.844,18.908,21.278,0.256,0.481,1.088,1.971,3.875,6.373,10.147,14.61,17.523,21.34,0.646,1.255,2.312,4.649,8.472,13.734,20.643,25.561,26.597,32.534,0.666,1.199,2.606,4.695,8.386,13.481,18.863,23.697,27.743,29.975,0.589,1.048,2.059,4.307,8.31,13.522,19.85,29.549,36.836,38.578,0.565,1.009,2.065,4.363,8.114,13.893,20.028,26.489,33.535,40.856,1.035,1.915,3.557,6.064,12.436,20.014,28.858,33.19,41.437,41.058,0.997,1.976,3.665,6.255,13.75,20.334,26.15,32.176,41.041,42.493
28,0.651,1.297,2.489,4.94,8.322,12.55,18.03,20.747,24.459,25.954,0.623,1.321,2.485,4.455,8.326,11.68,17.039,19.642,21.871,25.209,0.257,0.536,1.104,1.883,4.08,6.6,10.396,13.753,18.369,20.914,0.287,0.536,1.035,1.988,3.662,6.655,10.273,13.611,18.286,21.292,0.632,1.257,2.4,4.565,8.967,14.627,20.302,24.635,30.197,29.938,0.625,1.41,2.657,4.997,8.482,13.503,19.5,24.46,30.018,34.214,0.601,1.083,2.103,4.543,8.365,12.967,20.434,30.622,33.776,39.32,0.542,1.147,2.232,4.54,7.711,12.834,20.808,28.307,37.777,41.655,0.987,2.096,4.111,6.443,14.164,19.352,30.544,35.544,41.423,40.85,1.101,1.898,4.128,6.721,13.613,18.835,30.378,37.997,40.887,46.929
29,0.683,1.407,2.514,4.501,8.282,11.918,18.025,22.504,24.433,25.783,0.673,1.307,2.532,4.531,8.165,13.366,16.714,20.591,24.682,25.239,0.274,0.582,1.102,1.917,3.763,6.936,10.791,15.714,21.185,22.165,0.278,0.557,1.111,2.076,3.99,6.378,10.531,14.042,21.15,22.083,0.679,1.434,2.61,4.674,9.557,14.14,20.139,27.248,31.537,31.018,0.732,1.294,2.776,5.267,9.14,14.662,21.626,24.741,29.538,33.32,0.564,1.114,2.441,4.362,8.866,14.036,22.185,30.71,38.013,43.597,0.632,1.204,2.137,4.453,9.013,14.059,21.373,30.46,38.171,40.436,1.133,2.031,3.971,6.678,13.132,22.024,29.988,35.374,40.97,47.693,1.005,2.01,4.096,7.041,14.143,19.531,30.514,36.692,41.671,47.225
30,0.68,1.406,2.497,4.688,8.816,13.686,17.23,23.743,25.803,26.403,0.698,1.392,2.624,4.88,8.85,12.485,18.739,21.472,25.835,28.486,0.268,0.585,1.132,1.999,4.187,7.134,11.034,15.452,21.96,22.03,0.28,0.556,1.145,2.07,3.883,6.613,10.761,15.904,22.105,23.544,0.757,1.385,2.67,5.362,9.097,15.157,22.203,25.368,33.299,34.011,0.741,1.437,2.561,5.236,9.751,15.701,21.949,25.766,31.095,33.69,0.616,1.264,2.201,4.795,9.002,14.478,22.39,29.391,37.925,40.881,0.594,1.217,2.513,4.743,8.739,13.974,23.738,29.972,36.375,41.192,1.042,2.265,4.217,7.252,14.649,21.601,29.53,38.706,44.866,46.909,1.156,2.151,4.284,7.158,13.559,22.741,31.488,36.814,40.943,46.215
