"NovelEnzymes, Inc",,,,,,,,,,
Reference Data (Clean),,,,,,,,,,
Enzyme: PGO-X50,,,,,,,,,,
,,,,,,,,,,
Assay number (test),1,2,3,4,5,6,7,8,9,10
58,1.419,2.839,5.623,10.011,19.104,32.008,48.284,67.489,77.991,90.68
59,1.438,2.877,5.699,10.15,19.378,32.481,49.029,68.569,79.281,92.207
60,1.457,2.914,5.774,10.289,19.651,32.952,49.771,69.646,80.569,93.732
61,1.476,2.952,5.848,10.426,19.922,33.42,50.511,70.721,81.855,95.257
62,1.495,2.989,5.922,10.563,20.192,33.886,51.247,71.792,83.14,96.78
63,1.513,3.026,5.995,10.698,20.46,34.349,51.981,72.862,84.422,98.302
64,1.531,3.062,6.068,10.833,20.726,34.81,52.713,73.928,85.703,99.823
65,1.549,3.099,6.14,10.967,20.991,35.269,53.441,74.992,86.982,101.342
66,1.567,3.135,6.211,11.099,21.255,35.726,54.167,76.053,88.26,102.861
67,1.585,3.17,6.282,11.231,21.516,36.18,54.891,77.112,89.535,104.378
68,1.603,3.206,6.353,11.362,21.776,36.632,55.611,78.168,90.809,105.894
69,1.62,3.241,6.422,11.492,22.035,37.081,56.329,79.221,92.081,107.408
70,1.638,3.275,6.492,11.621,22.292,37.528,57.044,80.271,93.351,108.922
71,1.655,3.31,6.56,11.749,22.547,37.973,57.757,81.32,94.62,110.434
72,1.672,3.344,6.628,11.877,22.801,38.416,58.467,82.365,95.886,111.945
73,1.689,3.378,6.696,12.003,23.054,38.857,59.174,83.408,97.151,113.455
74,1.706,3.412,6.763,12.129,23.305,39.295,59.879,84.448,98.414,114.964
75,1.723,3.445,6.829,12.253,23.554,39.731,60.581,85.485,99.675,116.471
76,1.739,3.478,6.895,12.377,23.802,40.165,61.281,86.52,100.935,117.977
77,1.756,3.511,6.961,12.5,24.049,40.596,61.978,87.553,102.193,119.482
78,1.772,3.544,7.025,12.622,24.294,41.025,62.672,88.583,103.449,120.986
79,1.788,3.576,7.09,12.743,24.537,41.453,63.364,89.61,104.703,122.489
80,1.804,3.608,7.154,12.864,24.779,41.878,64.053,90.635,105.956,123.99
81,1.82,3.64,7.217,12.983,25.02,42.3,64.74,91.657,107.207,125.49
82,1.836,3.671,7.28,13.102,25.259,42.721,65.424,92.676,108.456,126.989
83,1.851,3.703,7.342,13.22,25.497,43.14,66.106,93.693,109.703,128.487
84,1.867,3.734,7.404,13.337,25.733,43.556,66.785,94.708,110.948,129.984
85,1.882,3.764,7.465,13.453,25.968,43.97,67.462,95.72,112.192,131.479
86,1.897,3.795,7.526,13.569,26.201,44.383,68.136,96.729,113.434,132.973
87,1.913,3.825,7.586,13.683,26.433,44.793,68.807,97.736,114.675,134.466
88,1.928,3.855,7.646,13.797,26.664,45.201,69.477,98.741,115.913,135.958
89,1.942,3.885,7.705,13.91,26.893,45.607,70.143,99.742,117.15,137.449
90,1.957,3.914,7.764,14.022,27.121,46.011,70.807,100.742,118.385,138.938
91,1.972,3.944,7.823,14.134,27.348,46.412,71.469,101.739,119.619,140.426
92,1.986,3.973,7.88,14.244,27.573,46.812,72.129,102.733,120.85,141.914
93,2.001,4.002,7.938,14.354,27.797,47.21,72.785,103.725,122.08,143.399
94,2.015,4.03,7.995,14.463,28.02,47.606,73.44,104.715,123.308,144.884
95,2.029,4.059,8.051,14.572,28.241,47.999,74.092,105.702,124.535,146.368
96,2.043,4.087,8.107,14.679,28.461,48.391,74.742,106.686,125.76,147.85
97,2.057,4.114,8.163,14.786,28.679,48.781,75.389,107.668,126.983,149.331
98,2.071,4.142,8.218,14.892,28.897,49.169,76.034,108.648,128.204,150.811
99,2.085,4.17,8.273,14.998,29.113,49.554,76.676,109.625,129.424,152.29
100,2.098,4.197,8.327,15.102,29.327,49.938,77.316,110.6,130.642,153.767
101,2.112,4.224,8.381,15.206,29.541,50.32,77.954,111.572,131.858,155.244
102,2.125,4.25,8.434,15.31,29.753,50.7,78.59,112.542,133.073,156.719
103,2.139,4.277,8.487,15.412,29.964,51.078,79.223,113.509,134.285,158.193
104,2.152,4.303,8.54,15.514,30.173,51.454,79.853,114.474,135.497,159.666
105,2.165,4.329,8.592,15.615,30.382,51.828,80.482,115.437,136.706,161.137
106,2.178,4.355,8.644,15.715,30.589,52.2,81.108,116.397,137.914,162.608
107,2.191,4.381,8.695,15.815,30.794,52.57,81.732,117.355,139.12,164.077
108,2.203,4.407,8.746,15.914,30.999,52.939,82.353,118.31,140.324,165.545
109,2.216,4.432,8.796,16.012,31.202,53.306,82.972,119.263,141.527,167.012
110,2.228,4.457,8.846,16.11,31.405,53.67,83.589,120.214,142.728,168.478
111,2.241,4.482,8.896,16.207,31.606,54.033,84.204,121.162,143.927,169.943
112,2.253,4.506,8.945,16.303,31.805,54.394,84.816,122.108,145.125,171.406
113,2.265,4.531,8.994,16.398,32.004,54.753,85.426,123.052,146.321,172.869
114,2.278,4.555,9.043,16.493,32.201,55.111,86.034,123.993,147.515,174.33
115,2.29,4.579,9.091,16.587,32.398,55.466,86.639,124.932,148.708,175.79
116,2.301,4.603,9.138,16.681,32.593,55.82,87.243,125.868,149.899,177.248
117,2.313,4.627,9.186,16.774,32.786,56.172,87.844,126.802,151.088,178.706
118,2.325,4.65,9.232,16.866,32.979,56.522,88.443,127.734,152.276,180.163
119,2.337,4.673,9.279,16.958,33.171,56.87,89.039,128.664,153.462,181.618
120,2.348,4.696,9.325,17.049,33.361,57.217,89.634,129.591,154.646,183.072
121,2.36,4.719,9.371,17.139,33.55,57.562,90.226,130.516,155.829,184.525
122,2.371,4.742,9.416,17.229,33.739,57.905,90.816,131.438,157.01,185.977
123,2.382,4.765,9.461,17.318,33.926,58.246,91.404,132.359,158.189,187.427
124,2.393,4.787,9.506,17.406,34.111,58.586,91.99,133.277,159.367,188.877
125,2.405,4.809,9.55,17.494,34.296,58.923,92.573,134.192,160.543,190.325
126,2.416,4.831,9.594,17.581,34.48,59.26,93.155,135.106,161.717,191.772
127,2.426,4.853,9.638,17.668,34.662,59.594,93.734,136.017,162.89,193.218
128,2.437,4.874,9.681,17.754,34.844,59.927,94.311,136.925,164.061,194.663
129,2.448,4.896,9.724,17.839,35.024,60.258,94.886,137.832,165.231,196.107
130,2.459,4.917,9.767,17.924,35.204,60.587,95.459,138.736,166.399,197.549
131,2.469,4.938,9.809,18.009,35.382,60.915,96.03,139.638,167.565,198.991
132,2.48,4.959,9.851,18.092,35.559,61.241,96.598,140.538,168.729,200.431
133,2.49,4.98,9.892,18.175,35.735,61.565,97.165,141.436,169.892,201.87
134,2.5,5,9.934,18.258,35.91,61.888,97.729,142.331,171.054,203.308
135,2.51,5.021,9.974,18.34,36.084,62.209,98.291,143.224,172.213,204.745
136,2.521,5.041,10.015,18.421,36.257,62.528,98.852,144.115,173.372,206.18
137,2.531,5.061,10.055,18.502,36.429,62.846,99.41,145.003,174.528,207.615
138,2.541,5.081,10.095,18.582,36.6,63.162,99.966,145.89,175.683,209.048
139,2.55,5.101,10.135,18.662,36.77,63.477,100.52,146.774,176.836,210.48
140,2.56,5.12,10.174,18.741,36.939,63.79,101.072,147.656,177.988,211.911
141,2.57,5.14,10.213,18.819,37.107,64.101,101.622,148.536,179.138,213.341
142,2.58,5.159,10.251,18.897,37.274,64.411,102.17,149.413,180.286,214.77
143,2.589,5.178,10.29,18.975,37.439,64.719,102.716,150.289,181.433,216.198
144,2.599,5.197,10.328,19.052,37.604,65.026,103.26,151.162,182.578,217.624
145,2.608,5.216,10.365,19.128,37.768,65.331,103.802,152.033,183.722,219.05
146,2.617,5.235,10.403,19.204,37.931,65.634,104.342,152.902,184.864,220.474
147,2.627,5.253,10.44,19.279,38.093,65.936,104.88,153.768,186.004,221.897
148,2.636,5.272,10.477,19.354,38.254,66.237,105.416,154.633,187.143,223.319
149,2.645,5.29,10.513,19.428,38.414,66.536,105.95,155.495,188.28,224.739
150,2.654,5.308,10.549,19.502,38.573,66.833,106.482,156.355,189.416,226.159
151,2.663,5.326,10.585,19.575,38.731,67.129,107.012,157.213,190.55,227.578
152,2.672,5.343,10.621,19.648,38.888,67.424,107.54,158.069,191.682,228.995
153,2.681,5.361,10.656,19.72,39.044,67.716,108.066,158.923,192.813,230.411
154,2.689,5.379,10.691,19.792,39.2,68.008,108.59,159.775,193.942,231.826
155,2.698,5.396,10.726,19.863,39.354,68.298,109.113,160.624,195.07,233.24
156,2.707,5.413,10.76,19.934,39.507,68.586,109.633,161.472,196.196,234.653
157,2.715,5.43,10.795,20.004,39.66,68.873,110.151,162.317,197.321,236.065
158,2.723,5.447,10.829,20.074,39.812,69.159,110.668,163.16,198.444,237.475
159,2.732,5.464,10.862,20.143,39.962,69.443,111.182,164.001,199.565,238.885
160,2.74,5.48,10.896,20.212,40.112,69.725,111.695,164.84,200.685,240.293
161,2.748,5.497,10.929,20.28,40.261,70.007,112.206,165.677,201.803,241.7
162,2.757,5.513,10.962,20.348,40.409,70.286,112.715,166.512,202.92,243.107
163,2.765,5.529,10.994,20.415,40.556,70.565,113.222,167.344,204.035,244.511
164,2.773,5.546,11.026,20.482,40.702,70.842,113.727,168.175,205.149,245.915
165,2.781,5.562,11.059,20.548,40.848,71.117,114.23,169.003,206.261,247.318
166,2.789,5.577,11.09,20.614,40.992,71.391,114.732,169.83,207.371,248.72
167,2.797,5.593,11.122,20.68,41.136,71.664,115.231,170.654,208.48,250.12
168,2.804,5.609,11.153,20.745,41.278,71.935,115.729,171.477,209.587,251.519
169,2.812,5.624,11.184,20.809,41.42,72.205,116.225,172.297,210.693,252.918
170,2.82,5.639,11.215,20.873,41.561,72.474,116.719,173.115,211.797,254.315
171,2.827,5.655,11.246,20.937,41.702,72.741,117.211,173.931,212.9,255.711
172,2.835,5.67,11.276,21,41.841,73.007,117.701,174.745,214.001,257.106
173,2.842,5.685,11.306,21.063,41.979,73.271,118.19,175.558,215.101,258.499
174,2.85,5.699,11.336,21.125,42.117,73.534,118.677,176.368,216.199,259.892
175,2.857,5.714,11.365,21.187,42.254,73.796,119.162,177.176,217.295,261.284
176,2.864,5.729,11.395,21.249,42.39,74.057,119.645,177.982,218.39,262.674
177,2.872,5.743,11.424,21.31,42.525,74.316,120.126,178.786,219.484,264.063
178,2.879,5.758,11.452,21.37,42.66,74.574,120.606,179.588,220.576,265.451
179,2.886,5.772,11.481,21.431,42.793,74.83,121.084,180.388,221.666,266.839
180,2.893,5.786,11.509,21.49,42.926,75.085,121.56,181.186,222.755,268.225
181,2.9,5.8,11.538,21.55,43.058,75.339,122.034,181.982,223.843,269.609
182,2.907,5.814,11.566,21.609,43.19,75.592,122.507,182.776,224.929,270.993
183,2.914,5.828,11.593,21.667,43.32,75.843,122.978,183.568,226.013,272.376
184,2.921,5.841,11.621,21.725,43.45,76.093,123.447,184.358,227.096,273.757
185,2.927,5.855,11.648,21.783,43.579,76.342,123.914,185.146,228.177,275.138
186,2.934,5.868,11.675,21.84,43.707,76.59,124.38,185.932,229.257,276.517
187,2.941,5.881,11.702,21.897,43.834,76.836,124.844,186.717,230.335,277.895
188,2.947,5.895,11.728,21.954,43.961,77.081,125.306,187.499,231.412,279.272
189,2.954,5.908,11.755,22.01,44.087,77.325,125.767,188.279,232.487,280.649
190,2.96,5.921,11.781,22.066,44.212,77.567,126.226,189.057,233.561,282.023
191,2.967,5.934,11.807,22.121,44.336,77.809,126.683,189.834,234.633,283.397
192,2.973,5.947,11.833,22.176,44.46,78.049,127.138,190.608,235.704,284.77
193,2.98,5.959,11.858,22.231,44.583,78.287,127.592,191.381,236.773,286.142
194,2.986,5.972,11.884,22.285,44.705,78.525,128.044,192.151,237.841,287.512
195,2.992,5.984,11.909,22.339,44.826,78.761,128.494,192.92,238.907,288.882
196,2.998,5.997,11.934,22.392,44.947,78.997,128.943,193.687,239.972,290.25
197,3.004,6.009,11.959,22.445,45.067,79.231,129.39,194.452,241.035,291.617
198,3.011,6.021,11.983,22.498,45.186,79.464,129.836,195.215,242.097,292.983
199,3.017,6.033,12.007,22.55,45.305,79.695,130.279,195.976,243.157,294.348
200,3.023,6.045,12.032,22.602,45.422,79.926,130.722,196.735,244.216,295.712
201,3.029,6.057,12.055,22.654,45.539,80.155,131.162,197.492,245.274,297.075
202,3.034,6.069,12.079,22.705,45.656,80.383,131.601,198.247,246.329,298.437
203,3.04,6.081,12.103,22.756,45.772,80.61,132.038,199.001,247.384,299.798
204,3.046,6.092,12.126,22.806,45.887,80.836,132.474,199.752,248.437,301.157
205,3.052,6.104,12.149,22.857,46.001,81.06,132.908,200.502,249.488,302.516
206,3.057,6.115,12.172,22.906,46.115,81.284,133.34,201.25,250.538,303.873
207,3.063,6.126,12.195,22.956,46.228,81.506,133.771,201.996,251.587,305.23
208,3.069,6.138,12.218,23.005,46.34,81.728,134.2,202.74,252.634,306.585
209,3.074,6.149,12.24,23.054,46.452,81.948,134.628,203.482,253.679,307.939
210,3.08,6.16,12.262,23.102,46.562,82.167,135.054,204.222,254.724,309.292
211,3.085,6.171,12.285,23.15,46.673,82.385,135.479,204.961,255.766,310.644
212,3.091,6.181,12.306,23.198,46.782,82.601,135.902,205.698,256.807,311.995
213,3.096,6.192,12.328,23.246,46.891,82.817,136.323,206.432,257.847,313.345
214,3.101,6.203,12.35,23.293,47,83.032,136.743,207.165,258.885,314.694
215,3.107,6.214,12.371,23.339,47.107,83.245,137.161,207.897,259.922,316.042
216,3.112,6.224,12.392,23.386,47.214,83.458,137.578,208.626,260.958,317.388
217,3.117,6.234,12.413,23.432,47.321,83.669,137.993,209.353,261.992,318.734
218,3.122,6.245,12.434,23.478,47.427,83.879,138.407,210.079,263.024,320.078
219,3.128,6.255,12.455,23.523,47.532,84.088,138.819,210.803,264.055,321.422
220,3.133,6.265,12.475,23.569,47.636,84.297,139.229,211.525,265.085,322.764
221,3.138,6.275,12.496,23.613,47.74,84.504,139.639,212.245,266.113,324.105
222,3.143,6.285,12.516,23.658,47.843,84.71,140.046,212.964,267.14,325.445
223,3.148,6.295,12.536,23.702,47.946,84.915,140.452,213.681,268.165,326.785
224,3.153,6.305,12.556,23.746,48.048,85.118,140.857,214.395,269.189,328.123
225,3.157,6.315,12.576,23.79,48.149,85.321,141.26,215.109,270.211,329.46
226,3.162,6.324,12.595,23.833,48.25,85.523,141.661,215.82,271.232,330.795
227,3.167,6.334,12.615,23.876,48.35,85.724,142.062,216.529,272.252,332.13
228,3.172,6.344,12.634,23.919,48.45,85.924,142.46,217.237,273.27,333.464
229,3.177,6.353,12.653,23.961,48.549,86.123,142.857,217.943,274.287,334.797
230,3.181,6.362,12.672,24.003,48.647,86.32,143.253,218.648,275.302,336.128
231,3.186,6.372,12.691,24.045,48.745,86.517,143.647,219.35,276.316,337.459
232,3.19,6.381,12.709,24.087,48.842,86.713,144.04,220.051,277.328,338.788
233,3.195,6.39,12.728,24.128,48.939,86.908,144.431,220.75,278.339,340.117
234,3.2,6.399,12.746,24.169,49.035,87.101,144.821,221.447,279.349,341.444
235,3.204,6.408,12.764,24.21,49.131,87.294,145.21,222.143,280.357,342.771
236,3.209,6.417,12.782,24.25,49.226,87.486,145.597,222.836,281.364,344.096
237,3.213,6.426,12.8,24.29,49.32,87.677,145.982,223.528,282.369,345.42
238,3.217,6.435,12.818,24.33,49.414,87.867,146.366,224.219,283.373,346.743
239,3.222,6.443,12.836,24.37,49.507,88.056,146.749,224.907,284.376,348.065
240,3.226,6.452,12.853,24.409,49.6,88.244,147.131,225.594,285.377,349.386
241,3.23,6.461,12.87,24.448,49.692,88.431,147.51,226.279,286.377,350.706
242,3.235,6.469,12.888,24.487,49.783,88.617,147.889,226.963,287.375,352.025
243,3.239,6.477,12.905,24.525,49.874,88.802,148.266,227.645,288.372,353.343
244,3.243,6.486,12.921,24.563,49.965,88.986,148.642,228.325,289.368,354.66
245,3.247,6.494,12.938,24.601,50.055,89.169,149.016,229.003,290.362,355.976
246,3.251,6.502,12.955,24.639,50.144,89.351,149.389,229.68,291.355,357.29
247,3.255,6.51,12.971,24.676,50.233,89.533,149.761,230.355,292.346,358.604
248,3.259,6.519,12.988,24.713,50.321,89.713,150.131,231.028,293.336,359.916
249,3.263,6.527,13.004,24.75,50.409,89.893,150.5,231.699,294.325,361.228
250,3.267,6.534,13.02,24.787,50.497,90.071,150.867,232.369,295.312,362.538
251,3.271,6.542,13.036,24.823,50.583,90.249,151.233,233.038,296.298,363.848
252,3.275,6.55,13.052,24.859,50.67,90.426,151.598,233.704,297.282,365.156
253,3.279,6.558,13.068,24.895,50.755,90.601,151.961,234.369,298.265,366.464
254,3.283,6.566,13.083,24.931,50.84,90.776,152.324,235.032,299.247,367.77
255,3.287,6.573,13.099,24.966,50.925,90.951,152.684,235.694,300.228,369.075
256,3.29,6.581,13.114,25.001,51.009,91.124,153.044,236.354,301.206,370.379
257,3.294,6.588,13.129,25.036,51.093,91.296,153.402,237.012,302.184,371.683
258,3.298,6.596,13.144,25.071,51.176,91.468,153.758,237.669,303.16,372.985
259,3.302,6.603,13.159,25.105,51.259,91.638,154.114,238.324,304.135,374.286
260,3.305,6.611,13.174,25.139,51.341,91.808,154.468,238.977,305.109,375.586
261,3.309,6.618,13.189,25.173,51.423,91.977,154.821,239.629,306.081,376.885
262,3.312,6.625,13.203,25.207,51.504,92.145,155.172,240.279,307.052,378.183
263,3.316,6.632,13.218,25.24,51.585,92.312,155.523,240.927,308.021,379.48
264,3.32,6.639,13.232,25.273,51.665,92.478,155.871,241.574,308.989,380.776
265,3.323,6.646,13.247,25.306,51.745,92.644,156.219,242.22,309.956,382.071
266,3.327,6.653,13.261,25.339,51.824,92.808,156.565,242.863,310.921,383.364
267,3.33,6.66,13.275,25.372,51.903,92.972,156.911,243.505,311.885,384.657
268,3.333,6.667,13.289,25.404,51.981,93.135,157.254,244.146,312.848,385.949
269,3.337,6.674,13.303,25.436,52.059,93.297,157.597,244.785,313.81,387.24
270,3.34,6.681,13.316,25.468,52.137,93.458,157.938,245.422,314.769,388.529
271,3.344,6.687,13.33,25.499,52.214,93.619,158.278,246.057,315.728,389.818
272,3.347,6.694,13.343,25.531,52.29,93.778,158.617,246.692,316.685,391.106
273,3.35,6.7,13.357,25.562,52.366,93.937,158.954,247.324,317.641,392.392
274,3.353,6.707,13.37,25.593,52.442,94.095,159.291,247.955,318.596,393.678
275,3.357,6.713,13.383,25.624,52.517,94.252,159.626,248.584,319.549,394.962
276,3.36,6.72,13.396,25.654,52.591,94.409,159.959,249.212,320.501,396.246
277,3.363,6.726,13.409,25.685,52.666,94.564,160.292,249.838,321.452,397.528
278,3.366,6.733,13.422,25.715,52.739,94.719,160.623,250.463,322.401,398.81
279,3.369,6.739,13.435,25.745,52.813,94.873,160.953,251.086,323.349,400.09
280,3.373,6.745,13.447,25.774,52.886,95.026,161.282,251.707,324.296,401.37
281,3.376,6.751,13.46,25.804,52.958,95.179,161.61,252.327,325.241,402.648
282,3.379,6.757,13.472,25.833,53.03,95.331,161.936,252.946,326.185,403.925
283,3.382,6.763,13.484,25.862,53.102,95.482,162.261,253.563,327.128,405.202
284,3.385,6.769,13.497,25.891,53.173,95.632,162.586,254.178,328.069,406.477
285,3.388,6.775,13.509,25.92,53.244,95.781,162.908,254.792,329.009,407.751
286,3.391,6.781,13.521,25.948,53.314,95.93,163.23,255.404,329.948,409.025
287,3.394,6.787,13.533,25.976,53.384,96.078,163.55,256.015,330.885,410.297
288,3.396,6.793,13.545,26.004,53.453,96.225,163.87,256.624,331.822,411.568
289,3.399,6.799,13.556,26.032,53.523,96.371,164.188,257.232,332.756,412.839
290,3.402,6.804,13.568,26.06,53.591,96.517,164.505,257.838,333.69,414.108
291,3.405,6.81,13.58,26.087,53.659,96.662,164.82,258.442,334.622,415.376
292,3.408,6.816,13.591,26.115,53.727,96.806,165.135,259.046,335.553,416.643
293,3.411,6.821,13.602,26.142,53.795,96.949,165.448,259.647,336.482,417.909
294,3.413,6.827,13.614,26.169,53.862,97.092,165.761,260.247,337.411,419.174
295,3.416,6.832,13.625,26.195,53.928,97.234,166.072,260.846,338.338,420.439
296,3.419,6.838,13.636,26.222,53.995,97.375,166.382,261.443,339.263,421.702
297,3.422,6.843,13.647,26.248,54.06,97.516,166.691,262.039,340.188,422.964
298,3.424,6.849,13.658,26.275,54.126,97.656,166.998,262.633,341.111,424.225
299,3.427,6.854,13.669,26.301,54.191,97.795,167.305,263.226,342.033,425.485
300,3.43,6.859,13.679,26.326,54.256,97.933,167.61,263.817,342.953,426.744
301,3.432,6.864,13.69,26.352,54.32,98.071,167.915,264.406,343.872,428.002
302,3.435,6.87,13.701,26.377,54.384,98.208,168.218,264.995,344.79,429.259
303,3.437,6.875,13.711,26.403,54.447,98.344,168.52,265.581,345.707,430.516
304,3.44,6.88,13.722,26.428,54.51,98.48,168.821,266.167,346.622,431.771
305,3.442,6.885,13.732,26.453,54.573,98.615,169.12,266.751,347.536,433.025
306,3.445,6.89,13.742,26.477,54.635,98.749,169.419,267.333,348.449,434.278
307,3.447,6.895,13.752,26.502,54.697,98.882,169.717,267.914,349.361,435.53
308,3.45,6.9,13.762,26.526,54.759,99.015,170.013,268.493,350.271,436.781
309,3.452,6.905,13.772,26.551,54.82,99.147,170.309,269.072,351.18,438.031
310,3.455,6.91,13.782,26.575,54.881,99.279,170.603,269.648,352.088,439.28
311,3.457,6.915,13.792,26.599,54.942,99.41,170.896,270.223,352.994,440.528
312,3.46,6.919,13.802,26.622,55.002,99.54,171.188,270.797,353.899,441.775
313,3.462,6.924,13.811,26.646,55.062,99.669,171.479,271.369,354.803,443.021
314,3.464,6.929,13.821,26.669,55.121,99.798,171.769,271.94,355.706,444.266
315,3.467,6.933,13.831,26.692,55.18,99.926,172.058,272.51,356.607,445.511
316,3.469,6.938,13.84,26.716,55.239,100.054,172.346,273.078,357.507,446.754
317,3.471,6.943,13.849,26.738,55.297,100.181,172.633,273.644,358.406,447.996
318,3.474,6.947,13.859,26.761,55.356,100.307,172.919,274.209,359.304,449.237
319,3.476,6.952,13.868,26.784,55.413,100.433,173.203,274.773,360.2,450.477
320,3.478,6.956,13.877,26.806,55.471,100.558,173.487,275.336,361.095,451.716
321,3.48,6.961,13.886,26.829,55.528,100.682,173.77,275.896,361.989,452.954
322,3.483,6.965,13.895,26.851,55.584,100.806,174.051,276.456,362.882,454.191
323,3.485,6.969,13.904,26.873,55.641,100.929,174.332,277.014,363.773,455.427
324,3.487,6.974,13.913,26.894,55.697,101.051,174.611,277.571,364.663,456.663
325,3.489,6.978,13.922,26.916,55.752,101.173,174.889,278.126,365.552,457.897
